dest;orig;hombres;mujeres;año
   Gran Canaria;Resto de UE-28;357;335;2015
   Tenerife;Resto de UE-28;1606;1524;2015
   La Gomera;Resto de UE-28;4;6;2015
   La Palma;Resto de UE-28;60;66;2015
   El Hierro;Resto de UE-28;2;7;2015
Canarias;Resto del mundo;2672;2410;2015
   Lanzarote;Resto del mundo;364;278;2015
   Fuerteventura;Resto del mundo;190;174;2015
   Gran Canaria;Resto del mundo;629;578;2015
   Tenerife;Resto del mundo;1422;1322;2015
   La Gomera;Resto del mundo;7;9;2015
   La Palma;Resto del mundo;58;47;2015
   El Hierro;Resto del mundo;2;2;2015
Canarias;España;20811;20990;2014
   Lanzarote;España;1637;1761;2014
   Fuerteventura;España;623;574;2014
   Gran Canaria;España;7714;7595;2014
   Tenerife;España;9905;10180;2014
   La Gomera;España;60;53;2014
   La Palma;España;820;779;2014
   El Hierro;España;52;48;2014
Canarias;Resto de UE-28;2054;2059;2014
   Lanzarote;Resto de UE-28;230;240;2014
   Fuerteventura;Resto de UE-28;155;137;2014
   Gran Canaria;Resto de UE-28;313;313;2014
   Tenerife;Resto de UE-28;1289;1299;2014
   La Gomera;Resto de UE-28;8;4;2014
   La Palma;Resto de UE-28;55;62;2014
   El Hierro;Resto de UE-28;4;4;2014
Canarias;Resto del mundo;2863;2578;2014
   Lanzarote;Resto del mundo;367;333;2014
   Fuerteventura;Resto del mundo;238;149;2014
   Gran Canaria;Resto del mundo;701;640;2014
   Tenerife;Resto del mundo;1476;1368;2014
   La Gomera;Resto del mundo;9;5;2014
   La Palma;Resto del mundo;65;77;2014
   El Hierro;Resto del mundo;7;6;2014
Canarias;España;21020;21115;2013
   Lanzarote;España;1678;1810;2013
   Fuerteventura;España;621;634;2013
   Gran Canaria;España;7792;7516;2013
   Tenerife;España;10035;10271;2013
   La Gomera;España;64;41;2013
   La Palma;España;791;815;2013
   El Hierro;España;39;28;2013
Canarias;Resto de UE-28;2029;2101;2013
   Lanzarote;Resto de UE-28;195;265;2013
   Fuerteventura;Resto de UE-28;136;124;2013
   Gran Canaria;Resto de UE-28;310;349;2013
   Tenerife;Resto de UE-28;1306;1262;2013
   La Gomera;Resto de UE-28;9;10;2013
   La Palma;Resto de UE-28;71;88;2013
   El Hierro;Resto de UE-28;2;3;2013
Canarias;Resto del mundo;3134;3002;2013
   Lanzarote;Resto del mundo;396;326;2013
   Fuerteventura;Resto del mundo;258;179;2013
   Gran Canaria;Resto del mundo;765;799;2013
   Tenerife;Resto del mundo;1645;1614;2013
   La Gomera;Resto del mundo;5;3;2013
   La Palma;Resto del mundo;57;77;2013
   El Hierro;Resto del mundo;8;4;2013
Canarias;España;20472;20616;2012
   Lanzarote;España;1584;1450;2012
   Fuerteventura;España;594;616;2012
   Gran Canaria;España;7716;7687;2012
   Tenerife;España;9568;9913;2012
   La Gomera;España;57;48;2012
   La Palma;España;897;863;2012
   El Hierro;España;56;39;2012
Canarias;Resto de UE-28;1873;1881;2012
   Lanzarote;Resto de UE-28;226;254;2012
   Fuerteventura;Resto de UE-28;123;131;2012
   Gran Canaria;Resto de UE-28;292;310;2012
   Tenerife;Resto de UE-28;1167;1099;2012
   La Gomera;Resto de UE-28;7;7;2012
   La Palma;Resto de UE-28;58;78;2012
   El Hierro;Resto de UE-28;0;2;2012
Canarias;Resto del mundo;3236;3323;2012
   Lanzarote;Resto del mundo;352;358;2012
   Fuerteventura;Resto del mundo;276;192;2012
   Gran Canaria;Resto del mundo;830;899;2012
   Tenerife;Resto del mundo;1686;1765;2012
   La Gomera;Resto del mundo;10;7;2012
   La Palma;Resto del mundo;74;90;2012
   El Hierro;Resto del mundo;8;12;2012
Canarias;España;20979;20679;2011
   Lanzarote;España;1505;1479;2011
   Fuerteventura;España;579;545;2011
   Gran Canaria;España;7834;7581;2011
   Tenerife;España;10056;10108;2011
   La Gomera;España;70;71;2011
   La Palma;España;893;850;2011
   El Hierro;España;42;45;2011
Canarias;Resto de UE-28;1565;1608;2011
   Lanzarote;Resto de UE-28;181;203;2011
   Fuerteventura;Resto de UE-28;106;110;2011
   Gran Canaria;Resto de UE-28;315;316;2011
   Tenerife;Resto de UE-28;906;896;2011
   La Gomera;Resto de UE-28;5;10;2011
   La Palma;Resto de UE-28;50;72;2011
   El Hierro;Resto de UE-28;2;1;2011
Canarias;Resto del mundo;3512;3297;2011
   Lanzarote;Resto del mundo;420;407;2011
   Fuerteventura;Resto del mundo;286;199;2011
   Gran Canaria;Resto del mundo;837;826;2011
   Tenerife;Resto del mundo;1854;1726;2011
   La Gomera;Resto del mundo;10;9;2011
   La Palma;Resto del mundo;92;113;2011
   El Hierro;Resto del mundo;13;17;2011
Canarias;España;20767;20631;2010
   Lanzarote;España;1643;1616;2010
   Fuerteventura;España;511;493;2010
   Gran Canaria;España;7770;7536;2010
   Tenerife;España;9888;10049;2010
   La Gomera;España;83;52;2010
   La Palma;España;829;826;2010
   El Hierro;España;43;59;2010
Canarias;Resto de UE-28;1583;1652;2010
   Lanzarote;Resto de UE-28;189;235;2010
   Fuerteventura;Resto de UE-28;76;77;2010
   Gran Canaria;Resto de UE-28;262;291;2010
   Tenerife;Resto de UE-28;976;954;2010
   La Gomera;Resto de UE-28;11;10;2010
   La Palma;Resto de UE-28;66;83;2010
   El Hierro;Resto de UE-28;3;2;2010
Canarias;Resto del mundo;3763;3506;2010
   Lanzarote;Resto del mundo;442;400;2010
   Fuerteventura;Resto del mundo;281;223;2010
   Gran Canaria;Resto del mundo;909;869;2010
   Tenerife;Resto del mundo;2026;1889;2010
   La Gomera;Resto del mundo;17;19;2010
   La Palma;Resto del mundo;81;102;2010
   El Hierro;Resto del mundo;7;4;2010
Canarias;España;19662;19647;2009
   Lanzarote;España;1399;1312;2009
   Fuerteventura;España;544;558;2009
   Gran Canaria;España;7335;7292;2009
   Tenerife;España;9533;9632;2009
   La Gomera;España;64;79;2009
   La Palma;España;749;736;2009
   El Hierro;España;38;38;2009
Canarias;Resto de UE-28;1629;1728;2009
   Lanzarote;Resto de UE-28;165;213;2009
   Fuerteventura;Resto de UE-28;82;79;2009
   Gran Canaria;Resto de UE-28;261;295;2009
   Tenerife;Resto de UE-28;1038;1045;2009
   La Gomera;Resto de UE-28;7;7;2009
   La Palma;Resto de UE-28;72;84;2009
   El Hierro;Resto de UE-28;4;5;2009
Canarias;Resto del mundo;3797;3598;2009
   Lanzarote;Resto del mundo;486;415;2009
   Fuerteventura;Resto del mundo;327;271;2009
   Gran Canaria;Resto del mundo;921;900;2009
   Tenerife;Resto del mundo;1950;1890;2009
   La Gomera;Resto del mundo;12;4;2009
   La Palma;Resto del mundo;91;109;2009
   El Hierro;Resto del mundo;10;9;2009
Canarias;España;19367;19456;2008
   Lanzarote;España;1376;1322;2008
   Fuerteventura;España;529;546;2008
   Gran Canaria;España;7368;7071;2008
   Tenerife;España;9307;9691;2008
   La Gomera;España;54;67;2008
   La Palma;España;698;716;2008
   El Hierro;España;35;43;2008
Canarias;Resto de UE-28;1846;1761;2008
   Lanzarote;Resto de UE-28;204;224;2008
   Fuerteventura;Resto de UE-28;113;87;2008
   Gran Canaria;Resto de UE-28;291;276;2008
   Tenerife;Resto de UE-28;1172;1105;2008
   La Gomera;Resto de UE-28;8;11;2008
   La Palma;Resto de UE-28;54;55;2008
   El Hierro;Resto de UE-28;4;3;2008
Canarias;Resto del mundo;3936;3613;2008
   Lanzarote;Resto del mundo;528;421;2008
   Fuerteventura;Resto del mundo;331;244;2008
   Gran Canaria;Resto del mundo;817;837;2008
   Tenerife;Resto del mundo;2170;2004;2008
   La Gomera;Resto del mundo;14;17;2008
   La Palma;Resto del mundo;68;83;2008
   El Hierro;Resto del mundo;8;7;2008
Canarias;España;21668;21632;2007
   Lanzarote;España;1326;1338;2007
   Fuerteventura;España;684;595;2007
   Gran Canaria;España;8009;7896;2007
   Tenerife;España;9971;10078;2007
   La Gomera;España;79;77;2007
   La Palma;España;747;824;2007
   El Hierro;España;852;824;2007
Canarias;Resto de UE-28;2247;2147;2007
   Lanzarote;Resto de UE-28;262;262;2007
   Fuerteventura;Resto de UE-28;134;120;2007
   Gran Canaria;Resto de UE-28;271;286;2007
   Tenerife;Resto de UE-28;1411;1306;2007
   La Gomera;Resto de UE-28;12;15;2007
   La Palma;Resto de UE-28;85;89;2007
   El Hierro;Resto de UE-28;72;69;2007
Canarias;Resto del mundo;4339;3855;2007
   Lanzarote;Resto del mundo;619;471;2007
   Fuerteventura;Resto del mundo;359;269;2007
   Gran Canaria;Resto del mundo;904;864;2007
   Tenerife;Resto del mundo;2323;2088;2007
   La Gomera;Resto del mundo;19;13;2007
   La Palma;Resto del mundo;61;84;2007
   El Hierro;Resto del mundo;54;66;2007
Canarias;España;20337;20217;2006
   Lanzarote;España;1403;1427;2006
   Fuerteventura;España;598;576;2006
   Gran Canaria;España;8228;7841;2006
   Tenerife;España;9316;9560;2006
   La Gomera;España;69;66;2006
   La Palma;España;690;720;2006
   El Hierro;España;33;27;2006
Canarias;Resto de UE-28;2032;1959;2006
   Lanzarote;Resto de UE-28;245;284;2006
   Fuerteventura;Resto de UE-28;182;138;2006
   Gran Canaria;Resto de UE-28;290;294;2006
   Tenerife;Resto de UE-28;1234;1149;2006
   La Gomera;Resto de UE-28;17;24;2006
   La Palma;Resto de UE-28;64;68;2006
   El Hierro;Resto de UE-28;0;2;2006
Canarias;Resto del mundo;4600;3959;2006
   Lanzarote;Resto del mundo;656;540;2006
   Fuerteventura;Resto del mundo;454;272;2006
   Gran Canaria;Resto del mundo;940;908;2006
   Tenerife;Resto del mundo;2460;2135;2006
   La Gomera;Resto del mundo;9;4;2006
   La Palma;Resto del mundo;75;93;2006
   El Hierro;Resto del mundo;6;7;2006
Canarias;España;17807;17912;2005
   Lanzarote;España;1242;1188;2005
   Fuerteventura;España;487;425;2005
   Gran Canaria;España;7354;7165;2005
   Tenerife;España;8089;8419;2005
   La Gomera;España;63;63;2005
   La Palma;España;558;614;2005
   El Hierro;España;14;38;2005
Canarias;Resto de UE-28;1756;1745;2005
   Lanzarote;Resto de UE-28;207;238;2005
   Fuerteventura;Resto de UE-28;102;80;2005
   Gran Canaria;Resto de UE-28;270;289;2005
   Tenerife;Resto de UE-28;1115;1069;2005
   La Gomera;Resto de UE-28;9;11;2005
   La Palma;Resto de UE-28;51;57;2005
   El Hierro;Resto de UE-28;2;1;2005
Canarias;Resto del mundo;4045;3399;2005
   Lanzarote;Resto del mundo;515;443;2005
   Fuerteventura;Resto del mundo;331;253;2005
   Gran Canaria;Resto del mundo;855;705;2005
   Tenerife;Resto del mundo;2255;1875;2005
   La Gomera;Resto del mundo;15;16;2005
   La Palma;Resto del mundo;67;97;2005
   El Hierro;Resto del mundo;7;10;2005
Canarias;España;17792;17679;2004
   Lanzarote;España;1209;1222;2004
   Fuerteventura;España;570;530;2004
   Gran Canaria;España;7095;6959;2004
   Tenerife;España;8208;8272;2004
   La Gomera;España;56;71;2004
   La Palma;España;635;595;2004
   El Hierro;España;19;30;2004
Canarias;Resto de UE-28;1675;1572;2004
   Lanzarote;Resto de UE-28;176;191;2004
   Fuerteventura;Resto de UE-28;120;90;2004
   Gran Canaria;Resto de UE-28;269;250;2004
   Tenerife;Resto de UE-28;1058;991;2004
   La Gomera;Resto de UE-28;14;11;2004
   La Palma;Resto de UE-28;36;38;2004
   El Hierro;Resto de UE-28;2;1;2004
Canarias;Resto del mundo;3299;2951;2004
   Lanzarote;Resto del mundo;458;411;2004
   Fuerteventura;Resto del mundo;375;266;2004
   Gran Canaria;Resto del mundo;854;815;2004
   Tenerife;Resto del mundo;1545;1379;2004
   La Gomera;Resto del mundo;11;12;2004
   La Palma;Resto del mundo;52;66;2004
   El Hierro;Resto del mundo;4;2;2004
Canarias;España;17876;17656;2003
   Lanzarote;España;1138;1184;2003
   Fuerteventura;España;676;556;2003
   Gran Canaria;España;7029;6740;2003
   Tenerife;España;8237;8390;2003
   La Gomera;España;82;82;2003
   La Palma;España;697;674;2003
   El Hierro;España;17;30;2003
Canarias;Resto de UE-28;1420;1313;2003
   Lanzarote;Resto de UE-28;112;139;2003
   Fuerteventura;Resto de UE-28;103;76;2003
   Gran Canaria;Resto de UE-28;248;213;2003
   Tenerife;Resto de UE-28;895;807;2003
   La Gomera;Resto de UE-28;13;17;2003
   La Palma;Resto de UE-28;48;61;2003
   El Hierro;Resto de UE-28;1;0;2003
Canarias;Resto del mundo;2565;2442;2003
   Lanzarote;Resto del mundo;299;320;2003
   Fuerteventura;Resto del mundo;292;212;2003
   Gran Canaria;Resto del mundo;707;692;2003
   Tenerife;Resto del mundo;1208;1143;2003
   La Gomera;Resto del mundo;8;3;2003
   La Palma;Resto del mundo;48;69;2003
   El Hierro;Resto del mundo;3;3;2003
Canarias;España;15605;15256;2002
   Lanzarote;España;1033;1043;2002
   Fuerteventura;España;338;269;2002
   Gran Canaria;España;6577;6284;2002
   Tenerife;España;6966;6994;2002
   La Gomera;España;39;40;2002
   La Palma;España;619;593;2002
