dest;orig;hombres;mujeres;año
   Tenerife;Resto de UE-28;82;90;1993
   La Gomera;Resto de UE-28;0;0;1993
   La Palma;Resto de UE-28;7;9;1993
   El Hierro;Resto de UE-28;0;0;1993
Canarias;Resto del mundo;171;181;1993
   Lanzarote;Resto del mundo;13;16;1993
   Fuerteventura;Resto del mundo;10;7;1993
   Gran Canaria;Resto del mundo;62;65;1993
   Tenerife;Resto del mundo;83;88;1993
   La Gomera;Resto del mundo;0;0;1993
   La Palma;Resto del mundo;3;5;1993
   El Hierro;Resto del mundo;0;0;1993
Canarias;España;8206;7781;1992
   Lanzarote;España;611;564;1992
   Fuerteventura;España;118;103;1992
   Gran Canaria;España;3487;3317;1992
   Tenerife;España;3649;3460;1992
   La Gomera;España;24;17;1992
   La Palma;España;298;300;1992
   El Hierro;España;19;20;1992
Canarias;Resto de UE-28;103;130;1992
   Lanzarote;Resto de UE-28;6;9;1992
   Fuerteventura;Resto de UE-28;3;3;1992
   Gran Canaria;Resto de UE-28;35;40;1992
   Tenerife;Resto de UE-28;48;68;1992
   La Gomera;Resto de UE-28;0;0;1992
   La Palma;Resto de UE-28;10;8;1992
   El Hierro;Resto de UE-28;1;2;1992
Canarias;Resto del mundo;141;156;1992
   Lanzarote;Resto del mundo;18;17;1992
   Fuerteventura;Resto del mundo;2;1;1992
   Gran Canaria;Resto del mundo;56;53;1992
   Tenerife;Resto del mundo;56;71;1992
   La Gomera;Resto del mundo;1;2;1992
   La Palma;Resto del mundo;8;12;1992
   El Hierro;Resto del mundo;0;0;1992
Canarias;España;7459;6985;1991
   Lanzarote;España;705;632;1991
   Fuerteventura;España;118;92;1991
   Gran Canaria;España;3539;3303;1991
   Tenerife;España;2873;2732;1991
   La Gomera;España;7;6;1991
   La Palma;España;215;215;1991
   El Hierro;España;2;5;1991
Canarias;Resto de UE-28;81;121;1991
   Lanzarote;Resto de UE-28;8;13;1991
   Fuerteventura;Resto de UE-28;0;1;1991
   Gran Canaria;Resto de UE-28;25;33;1991
   Tenerife;Resto de UE-28;45;65;1991
   La Gomera;Resto de UE-28;0;0;1991
   La Palma;Resto de UE-28;3;9;1991
   El Hierro;Resto de UE-28;0;0;1991
Canarias;Resto del mundo;87;122;1991
   Lanzarote;Resto del mundo;8;14;1991
   Fuerteventura;Resto del mundo;1;5;1991
   Gran Canaria;Resto del mundo;39;46;1991
   Tenerife;Resto del mundo;31;45;1991
   La Gomera;Resto del mundo;0;0;1991
   La Palma;Resto del mundo;8;12;1991
   El Hierro;Resto del mundo;0;0;1991
Canarias;España;8610;8202;1990
   Lanzarote;España;744;719;1990
   Fuerteventura;España;209;184;1990
   Gran Canaria;España;3743;3493;1990
   Tenerife;España;3597;3504;1990
   La Gomera;España;26;18;1990
   La Palma;España;277;265;1990
   El Hierro;España;14;19;1990
Canarias;Resto de UE-28;109;123;1990
   Lanzarote;Resto de UE-28;8;10;1990
   Fuerteventura;Resto de UE-28;6;9;1990
   Gran Canaria;Resto de UE-28;19;24;1990
   Tenerife;Resto de UE-28;65;70;1990
   La Gomera;Resto de UE-28;0;0;1990
   La Palma;Resto de UE-28;10;9;1990
   El Hierro;Resto de UE-28;1;1;1990
Canarias;Resto del mundo;88;86;1990
   Lanzarote;Resto del mundo;13;10;1990
   Fuerteventura;Resto del mundo;2;0;1990
   Gran Canaria;Resto del mundo;45;41;1990
   Tenerife;Resto del mundo;24;31;1990
   La Gomera;Resto del mundo;0;0;1990
   La Palma;Resto del mundo;4;4;1990
   El Hierro;Resto del mundo;0;0;1990
Canarias;España;7917;7587;1989
   Lanzarote;España;730;658;1989
   Fuerteventura;España;192;169;1989
   Gran Canaria;España;3308;3088;1989
   Tenerife;España;3391;3353;1989
   La Gomera;España;19;13;1989
   La Palma;España;269;296;1989
   El Hierro;España;8;10;1989
Canarias;Resto de UE-28;109;126;1989
   Lanzarote;Resto de UE-28;7;15;1989
   Fuerteventura;Resto de UE-28;2;2;1989
   Gran Canaria;Resto de UE-28;16;20;1989
   Tenerife;Resto de UE-28;61;76;1989
   La Gomera;Resto de UE-28;0;0;1989
   La Palma;Resto de UE-28;23;13;1989
   El Hierro;Resto de UE-28;0;0;1989
Canarias;Resto del mundo;79;86;1989
   Lanzarote;Resto del mundo;2;5;1989
   Fuerteventura;Resto del mundo;0;0;1989
   Gran Canaria;Resto del mundo;39;42;1989
   Tenerife;Resto del mundo;34;36;1989
   La Gomera;Resto del mundo;0;0;1989
   La Palma;Resto del mundo;4;3;1989
   El Hierro;Resto del mundo;0;0;1989
Canarias;España;5628;5554;1988
   Lanzarote;España;462;394;1988
   Fuerteventura;España;131;93;1988
   Gran Canaria;España;2571;2549;1988
   Tenerife;España;2235;2277;1988
   La Gomera;España;12;13;1988
   La Palma;España;210;222;1988
   El Hierro;España;7;6;1988
Canarias;Resto de UE-28;73;92;1988
   Lanzarote;Resto de UE-28;1;3;1988
   Fuerteventura;Resto de UE-28;5;7;1988
   Gran Canaria;Resto de UE-28;23;19;1988
   Tenerife;Resto de UE-28;37;59;1988
   La Gomera;Resto de UE-28;0;0;1988
   La Palma;Resto de UE-28;7;4;1988
   El Hierro;Resto de UE-28;0;0;1988
Canarias;Resto del mundo;51;56;1988
   Lanzarote;Resto del mundo;2;3;1988
   Fuerteventura;Resto del mundo;0;0;1988
   Gran Canaria;Resto del mundo;19;20;1988
   Tenerife;Resto del mundo;25;30;1988
   La Gomera;Resto del mundo;0;0;1988
   La Palma;Resto del mundo;5;3;1988
   El Hierro;Resto del mundo;0;0;1988
